cycle,cycle_dir,analyte_id,analyte_column,sex,age_group,n,pct_below_lod,weighted,weight_column,p5,p10,p25,p50,p75,p90,p95
I,2015_2016,sb_pfoa,LBXBFOA,male,20-39,270,0.9777777777777777,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.07
I,2015_2016,sb_pfoa,LBXBFOA,male,40-59,247,0.9838056680161943,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.07
I,2015_2016,sb_pfoa,LBXBFOA,male,60_plus,253,0.9565217391304348,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.07
I,2015_2016,sb_pfoa,LBXBFOA,male,all_ages,964,0.9771784232365145,False,,0.07,0.07,0.07,0.07,0.07,0.07,0.07
I,2015_2016,sm_pfos,LBXMFOS,all,12-19,353,0.0028328611898017,False,,0.3,0.4,0.5,0.8,1.1,1.5,2.0
I,2015_2016,sm_pfos,LBXMFOS,all,20-39,549,0.025500910746812388,False,,0.2,0.3,0.6,1.0,1.7,2.5,3.360000000000002
I,2015_2016,sm_pfos,LBXMFOS,all,40-59,555,0.009009009009009009,False,,0.3,0.4,0.8,1.6,2.8,4.1,5.429999999999995
I,2015_2016,sm_pfos,LBXMFOS,all,60_plus,536,0.005597014925373134,False,,0.6,0.9,1.6,2.5,4.3,6.05,7.35
I,2015_2016,sm_pfos,LBXMFOS,all,all_ages,1993,0.01154039136979428,False,,0.3,0.4,0.7,1.4,2.5,4.2,5.5
I,2015_2016,sm_pfos,LBXMFOS,female,12-19,159,0.0,False,,0.3,0.3,0.5,0.6,0.9,1.1,1.3099999999999994
I,2015_2016,sm_pfos,LBXMFOS,female,20-39,279,0.03225806451612903,False,,0.1,0.2,0.4,0.6,1.0,1.6,1.8
I,2015_2016,sm_pfos,LBXMFOS,female,40-59,308,0.00974025974025974,False,,0.23500000000000015,0.4,0.6,1.0,1.7,2.530000000000001,3.7
I,2015_2016,sm_pfos,LBXMFOS,female,60_plus,283,0.0035335689045936395,False,,0.6,0.8,1.4,2.3,3.8,5.580000000000001,7.049999999999988
I,2015_2016,sm_pfos,LBXMFOS,female,all_ages,1029,0.012633624878522837,False,,0.2,0.3,0.5,1.0,1.8,3.4200000000000044,4.8
I,2015_2016,sm_pfos,LBXMFOS,male,12-19,194,0.005154639175257732,False,,0.36500000000000005,0.5,0.6,0.9,1.2,1.8,2.1
I,2015_2016,sm_pfos,LBXMFOS,male,20-39,270,0.018518518518518517,False,,0.6,0.7900000000000003,1.0,1.5,2.275,3.3,3.854999999999998
