dataset_version,cycle,matrix,analyte,units,n,p50,p75,p90,p95,p99
NHANES_2017_2018_PFAS_J_total_v1,2017_2018,serum,PFOA_TOTAL,ng/mL,1929,1.37,2.07,2.9699999999999998,3.7879999999999976,6.891600000000001
NHANES_2017_2018_PFAS_J_total_v1,2017_2018,serum,PFOS_TOTAL,ng/mL,1929,4.2,7.8,13.5,19.3,36.84800000000003
