cycle,cycle_dir,analyte_id,analyte_column,sex,age_group,n_unweighted,n_weighted,pct_below_lod,weighted,weight_column,p5,p10,p25,p50,p75,p90,p95
P,2017_2020,n_pfos,LBXNFOS,male,all_ages,1506,133007549.023121,0.005312084993359893,True,WTSBAPRP,1.0,1.3,2.1,3.4,5.6,9.2,11.674789666363838
P,2017_2020,sb_pfoa,LBXBFOA,all,12-19,521,33819853.98283,0.9193857965451055,True,WTSBAPRP,0.07,0.07,0.07,0.07,0.07,0.07,0.1
P,2017_2020,sb_pfoa,LBXBFOA,all,20-39,769,86628047.652376,0.9466840052015605,True,WTSBAPRP,0.07,0.07,0.07,0.07,0.07,0.07,0.1
P,2017_2020,sb_pfoa,LBXBFOA,all,40-59,852,82164387.058604,0.9401408450704225,True,WTSBAPRP,0.07,0.07,0.07,0.07,0.07,0.07,0.07
P,2017_2020,sb_pfoa,LBXBFOA,all,60_plus,930,71657058.321361,0.9376344086021505,True,WTSBAPRP,0.07,0.07,0.07,0.07,0.07,0.07,0.1
P,2017_2020,sb_pfoa,LBXBFOA,all,all_ages,3072,274269347.015171,0.9375,True,WTSBAPRP,0.07,0.07,0.07,0.07,0.07,0.07,0.1
P,2017_2020,sb_pfoa,LBXBFOA,female,12-19,250,16521123.015159,0.936,True,WTSBAPRP,0.07,0.07,0.07,0.07,0.07,0.07,0.07
P,2017_2020,sb_pfoa,LBXBFOA,female,20-39,433,43540906.743569,0.9584295612009238,True,WTSBAPRP,0.07,0.07,0.07,0.07,0.07,0.07,0.07
P,2017_2020,sb_pfoa,LBXBFOA,female,40-59,428,42131179.999914,0.9439252336448598,True,WTSBAPRP,0.07,0.07,0.07,0.07,0.07,0.07,0.07
P,2017_2020,sb_pfoa,LBXBFOA,female,60_plus,455,39068588.233408004,0.9384615384615385,True,WTSBAPRP,0.07,0.07,0.07,0.07,0.07,0.07,0.1
P,2017_2020,sb_pfoa,LBXBFOA,female,all_ages,1566,141261797.99205,0.9450830140485313,True,WTSBAPRP,0.07,0.07,0.07,0.07,0.07,0.07,0.07
P,2017_2020,sb_pfoa,LBXBFOA,male,12-19,271,17298730.967671,0.9040590405904059,True,WTSBAPRP,0.07,0.07,0.07,0.07,0.07,0.07,0.1
P,2017_2020,sb_pfoa,LBXBFOA,male,20-39,336,43087140.908806995,0.9315476190476191,True,WTSBAPRP,0.07,0.07,0.07,0.07,0.07,0.07,0.1421499704175212
P,2017_2020,sb_pfoa,LBXBFOA,male,40-59,424,40033207.05869,0.9363207547169812,True,WTSBAPRP,0.07,0.07,0.07,0.07,0.07,0.07,0.1
P,2017_2020,sb_pfoa,LBXBFOA,male,60_plus,475,32588470.087952998,0.9368421052631579,True,WTSBAPRP,0.07,0.07,0.07,0.07,0.07,0.07,0.1
P,2017_2020,sb_pfoa,LBXBFOA,male,all_ages,1506,133007549.023121,0.9296148738379814,True,WTSBAPRP,0.07,0.07,0.07,0.07,0.07,0.07,0.1
P,2017_2020,sm_pfos,LBXMFOS,all,12-19,521,33819853.98283,0.003838771593090211,True,WTSBAPRP,0.3,0.3,0.4,0.6,0.9,1.5,2.030723505766754
P,2017_2020,sm_pfos,LBXMFOS,all,20-39,769,86628047.652376,0.01950585175552666,True,WTSBAPRP,0.2,0.3,0.5,0.9,1.4,2.2,2.8843974814992053
P,2017_2020,sm_pfos,LBXMFOS,all,40-59,852,82164387.058604,0.015258215962441314,True,WTSBAPRP,0.3,0.4,0.7,1.3,2.0,3.2,3.8
P,2017_2020,sm_pfos,LBXMFOS,all,60_plus,930,71657058.321361,0.011827956989247311,True,WTSBAPRP,0.5,0.7798975264021472,1.2,2.2,3.4,5.2,6.6
P,2017_2020,sm_pfos,LBXMFOS,all,all_ages,3072,274269347.015171,0.013346354166666666,True,WTSBAPRP,0.3,0.4,0.6,1.2,2.1,3.4,4.5
P,2017_2020,sm_pfos,LBXMFOS,female,12-19,250,16521123.015159,0.008,True,WTSBAPRP,0.2,0.3,0.4,0.5,0.7,1.1823026139948274,2.12571457562143
P,2017_2020,sm_pfos,LBXMFOS,female,20-39,433,43540906.743569,0.018475750577367205,True,WTSBAPRP,0.2,0.3,0.4,0.6,0.9,1.3,1.7
P,2017_2020,sm_pfos,LBXMFOS,female,40-59,428,42131179.999914,0.014018691588785047,True,WTSBAPRP,0.2,0.3,0.5,0.8,1.5,2.3,2.8
P,2017_2020,sm_pfos,LBXMFOS,female,60_plus,455,39068588.233408004,0.006593406593406593,True,WTSBAPRP,0.5,0.7,1.1,1.9,2.8105570108026563,5.001428626288298,5.8850192390942135
P,2017_2020,sm_pfos,LBXMFOS,female,all_ages,1566,141261797.99205,0.012132822477650063,True,WTSBAPRP,0.2,0.3,0.5,0.8,1.6,2.7193918253568716,3.8
P,2017_2020,sm_pfos,LBXMFOS,male,12-19,271,17298730.967671,0.0,True,WTSBAPRP,0.3,0.4,0.5,0.7,1.1,1.611550218821279,2.0
P,2017_2020,sm_pfos,LBXMFOS,male,20-39,336,43087140.908806995,0.020833333333333332,True,WTSBAPRP,0.3,0.5,0.8,1.2,1.9,2.7,3.4
P,2017_2020,sm_pfos,LBXMFOS,male,40-59,424,40033207.05869,0.01650943396226415,True,WTSBAPRP,0.7,0.8,1.2,1.7836882758708372,2.7,3.6,4.6
P,2017_2020,sm_pfos,LBXMFOS,male,60_plus,475,32588470.087952998,0.016842105263157894,True,WTSBAPRP,0.6,0.9,1.6,2.7,3.9,5.9,6.796540206568464
P,2017_2020,sm_pfos,LBXMFOS,male,all_ages,1506,133007549.023121,0.014608233731739707,True,WTSBAPRP,0.4,0.6,0.9,1.5,2.6,3.7,5.1
