cycle,cycle_dir,analyte_id,analyte_column,sex,age_group,n_unweighted,n_weighted,pct_below_lod,weighted,weight_column,p5,p10,p25,p50,p75,p90,p95
I,2015_2016,sb_pfoa,LBXBFOA,all,60_plus,536,62574289.962322995,0.9589552238805971,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.07,0.07
I,2015_2016,sb_pfoa,LBXBFOA,all,all_ages,1993,251796176.728872,0.9799297541394882,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.07,0.07
I,2015_2016,sb_pfoa,LBXBFOA,female,12-19,159,13241298.308639001,1.0,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.07,0.07
I,2015_2016,sb_pfoa,LBXBFOA,female,20-39,279,39891209.352501,0.996415770609319,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.07,0.07
I,2015_2016,sb_pfoa,LBXBFOA,female,40-59,308,41357318.546508,0.9805194805194806,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.07,0.07
I,2015_2016,sb_pfoa,LBXBFOA,female,60_plus,283,34443876.600986004,0.9611307420494699,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.07,0.07
I,2015_2016,sb_pfoa,LBXBFOA,female,all_ages,1029,128933702.808634,0.9825072886297376,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.07,0.07
I,2015_2016,sb_pfoa,LBXBFOA,male,12-19,194,15501492.697254,0.9948453608247423,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.07,0.07
I,2015_2016,sb_pfoa,LBXBFOA,male,20-39,270,39364899.485848,0.9777777777777777,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.07,0.07
I,2015_2016,sb_pfoa,LBXBFOA,male,40-59,247,39865668.375799,0.9838056680161943,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.07,0.07
I,2015_2016,sb_pfoa,LBXBFOA,male,60_plus,253,28130413.361337,0.9565217391304348,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.07,0.07
I,2015_2016,sb_pfoa,LBXBFOA,male,all_ages,964,122862473.920238,0.9771784232365145,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.07,0.07
I,2015_2016,sm_pfos,LBXMFOS,all,12-19,353,28742791.005893,0.0028328611898017,True,WTSB2YR,0.3,0.4,0.6,0.9,1.2,1.6,2.0
I,2015_2016,sm_pfos,LBXMFOS,all,20-39,549,79256108.838349,0.025500910746812388,True,WTSB2YR,0.2,0.4,0.6,1.1,1.8,2.9,3.774995298524847
I,2015_2016,sm_pfos,LBXMFOS,all,40-59,555,81222986.922307,0.009009009009009009,True,WTSB2YR,0.4,0.5,0.9,1.8,3.0,4.371202324663958,5.6840668756520545
I,2015_2016,sm_pfos,LBXMFOS,all,60_plus,536,62574289.962322995,0.005597014925373134,True,WTSB2YR,0.5176256454158279,0.8,1.5,2.5,4.3,6.0,7.6
I,2015_2016,sm_pfos,LBXMFOS,all,all_ages,1993,251796176.728872,0.01154039136979428,True,WTSB2YR,0.3,0.5,0.8,1.5,2.6,4.4,5.7
I,2015_2016,sm_pfos,LBXMFOS,female,12-19,159,13241298.308639001,0.0,True,WTSB2YR,0.3,0.4,0.5,0.7,0.9387951191646554,1.1488491337864146,1.496413559780949
I,2015_2016,sm_pfos,LBXMFOS,female,20-39,279,39891209.352501,0.03225806451612903,True,WTSB2YR,0.2,0.3,0.4,0.7,1.1,1.6,1.8
I,2015_2016,sm_pfos,LBXMFOS,female,40-59,308,41357318.546508,0.00974025974025974,True,WTSB2YR,0.3,0.4,0.6,1.1,2.0,2.6,3.7
I,2015_2016,sm_pfos,LBXMFOS,female,60_plus,283,34443876.600986004,0.0035335689045936395,True,WTSB2YR,0.4396809693578949,0.7,1.2,2.2,4.0,5.931250836616057,7.141109085939164
I,2015_2016,sm_pfos,LBXMFOS,female,all_ages,1029,128933702.808634,0.012633624878522837,True,WTSB2YR,0.2,0.4,0.6,1.0,1.9,3.5,4.853012941360551
I,2015_2016,sm_pfos,LBXMFOS,male,12-19,194,15501492.697254,0.005154639175257732,True,WTSB2YR,0.4,0.5,0.8,1.0,1.4,1.8,2.020041999541614
I,2015_2016,sm_pfos,LBXMFOS,male,20-39,270,39364899.485848,0.018518518518518517,True,WTSB2YR,0.5527113633798765,0.8,1.1,1.6,2.6,3.7461474034014324,4.982449163146687
I,2015_2016,sm_pfos,LBXMFOS,male,40-59,247,39865668.375799,0.008097165991902834,True,WTSB2YR,0.8,1.0,1.6,2.6,3.6303202310506153,5.440372773440829,6.9
I,2015_2016,sm_pfos,LBXMFOS,male,60_plus,253,28130413.361337,0.007905138339920948,True,WTSB2YR,0.8239073873042388,1.4,1.9,2.9,4.5,6.7,7.7983661188104225
I,2015_2016,sm_pfos,LBXMFOS,male,all_ages,964,122862473.920238,0.01037344398340249,True,WTSB2YR,0.6,0.8,1.3,2.0,3.3,5.1,6.3
J,2017_2018,n_pfoa,LBXNFOA,all,12-19,313,28969188.891374998,0.0,True,WTSB2YR,0.5,0.6,0.8,1.0812594103122732,1.6,2.0,2.3227883953803725
J,2017_2018,n_pfoa,LBXNFOA,all,20-39,499,81661620.780698,0.006012024048096192,True,WTSB2YR,0.4,0.5,0.7,1.2,1.7,2.3,2.7
J,2017_2018,n_pfoa,LBXNFOA,all,40-59,513,79211749.76572399,0.001949317738791423,True,WTSB2YR,0.5,0.6,0.9,1.4,2.1,3.3,4.614838782299977
J,2017_2018,n_pfoa,LBXNFOA,all,60_plus,604,65270299.990158,0.004966887417218543,True,WTSB2YR,0.4,0.7,1.2025916292100638,1.8,2.5735470605661295,3.5,4.3
J,2017_2018,n_pfoa,LBXNFOA,all,all_ages,1929,255112859.42795503,0.0036288232244686366,True,WTSB2YR,0.4,0.6,0.9,1.4,2.0,2.9,3.7
