reference_source,reference_material,srm_id,matrix,analyte,abbrev,concentration,uncertainty,unit,coverage_factor,interlaboratory,analytical_method,traceability,isomer_reporting,linear_isomer,branched_isomer,combined_isomer_reporting,external_lab_source,weighted_mean_basis,status,nist_table_citation
NIST SRM 1957,SRM 1957,SRM 1957,serum,Tridecafluoroheptanoic acid,PFHpA,0.305,0.051,ug/kg,2,yes,LC/MS/MS,NIST SRM 1957 Certificate of Analysis; Appendix A Table A2; uncertainty per ISO/JCGM framework as stated in NIST documentation,linear and branched isomers reported (combined per Table A2),yes,yes,yes,Interlaboratory study participants including CDC LC/MS/MS data per NIST documentation,Table A2 concentration is weighted mean consensus from interlaboratory LC/MS/MS results,non-certified,NIST SRM 1957 Appendix A Table A2 — Non-Certified Mass Fraction Values for PFAS in Reconstituted SRM 1957
NIST SRM 1957,SRM 1957,SRM 1957,serum,Pentadecafluorooctanoic acid,PFOA,5.00,0.44,ug/kg,2,yes,LC/MS/MS,NIST SRM 1957 Certificate of Analysis; Appendix A Table A2; uncertainty per ISO/JCGM framework as stated in NIST documentation,linear and branched isomers reported (combined per Table A2),yes,yes,yes,Interlaboratory study participants including CDC LC/MS/MS data per NIST documentation,Table A2 concentration is weighted mean consensus from interlaboratory LC/MS/MS results,non-certified,NIST SRM 1957 Appendix A Table A2 — Non-Certified Mass Fraction Values for PFAS in Reconstituted SRM 1957
NIST SRM 1957,SRM 1957,SRM 1957,serum,Heptadecafluorononanoic acid,PFNA,0.878,0.077,ug/kg,2,yes,LC/MS/MS,NIST SRM 1957 Certificate of Analysis; Appendix A Table A2; uncertainty per ISO/JCGM framework as stated in NIST documentation,linear and branched isomers reported (combined per Table A2),yes,yes,yes,Interlaboratory study participants including CDC LC/MS/MS data per NIST documentation,Table A2 concentration is weighted mean consensus from interlaboratory LC/MS/MS results,non-certified,NIST SRM 1957 Appendix A Table A2 — Non-Certified Mass Fraction Values for PFAS in Reconstituted SRM 1957
NIST SRM 1957,SRM 1957,SRM 1957,serum,Nonadecafluorodecanoic acid,PFDA,0.39,0.12,ug/kg,2,yes,LC/MS/MS,NIST SRM 1957 Certificate of Analysis; Appendix A Table A2; uncertainty per ISO/JCGM framework as stated in NIST documentation,linear and branched isomers reported (combined per Table A2),yes,yes,yes,Interlaboratory study participants including CDC LC/MS/MS data per NIST documentation,Table A2 concentration is weighted mean consensus from interlaboratory LC/MS/MS results,non-certified,NIST SRM 1957 Appendix A Table A2 — Non-Certified Mass Fraction Values for PFAS in Reconstituted SRM 1957
NIST SRM 1957,SRM 1957,SRM 1957,serum,Perfluoroundecanoic acid,PFUnA,0.172,0.036,ug/kg,2,yes,LC/MS/MS,NIST SRM 1957 Certificate of Analysis; Appendix A Table A2; uncertainty per ISO/JCGM framework as stated in NIST documentation,linear and branched isomers reported (combined per Table A2),yes,yes,yes,Interlaboratory study participants including CDC LC/MS/MS data per NIST documentation,Table A2 concentration is weighted mean consensus from interlaboratory LC/MS/MS results,non-certified,NIST SRM 1957 Appendix A Table A2 — Non-Certified Mass Fraction Values for PFAS in Reconstituted SRM 1957
NIST SRM 1957,SRM 1957,SRM 1957,serum,Perfluorohexanesulfonic acid,PFHxS,4.00,0.83,ug/kg,2,yes,LC/MS/MS,NIST SRM 1957 Certificate of Analysis; Appendix A Table A2; uncertainty per ISO/JCGM framework as stated in NIST documentation,linear and branched isomers reported (combined per Table A2),yes,yes,yes,Interlaboratory study participants including CDC LC/MS/MS data per NIST documentation,Table A2 concentration is weighted mean consensus from interlaboratory LC/MS/MS results,non-certified,NIST SRM 1957 Appendix A Table A2 — Non-Certified Mass Fraction Values for PFAS in Reconstituted SRM 1957
NIST SRM 1957,SRM 1957,SRM 1957,serum,Perfluorooctanesulfonic acid,PFOS,21.1,1.3,ug/kg,2,yes,LC/MS/MS,NIST SRM 1957 Certificate of Analysis; Appendix A Table A2; uncertainty per ISO/JCGM framework as stated in NIST documentation,linear and branched isomers reported (combined per Table A2),yes,yes,yes,Interlaboratory study participants including CDC LC/MS/MS data per NIST documentation,Table A2 concentration is weighted mean consensus from interlaboratory LC/MS/MS results,non-certified,NIST SRM 1957 Appendix A Table A2 — Non-Certified Mass Fraction Values for PFAS in Reconstituted SRM 1957
