reference_material,matrix,analyte,short_name,value,uncertainty,unit,value_type,method,coverage_factor,source_pdf
SRM 1957,serum,Tridecafluoroheptanoic acid,PFHpA,0.305,0.051,ug/kg,non-certified,LC/MS/MS,2,https://tsapps.nist.gov/srmext/certificates/1957.pdf
SRM 1957,serum,Pentadecafluorooctanoic acid,PFOA,5.00,0.44,ug/kg,non-certified,LC/MS/MS,2,https://tsapps.nist.gov/srmext/certificates/1957.pdf
SRM 1957,serum,Heptadecafluorononanoic acid,PFNA,0.878,0.077,ug/kg,non-certified,LC/MS/MS,2,https://tsapps.nist.gov/srmext/certificates/1957.pdf
SRM 1957,serum,Nonadecafluorodecanoic acid,PFDA,0.39,0.12,ug/kg,non-certified,LC/MS/MS,2,https://tsapps.nist.gov/srmext/certificates/1957.pdf
SRM 1957,serum,Perfluoroundecanoic acid,PFUnA,0.172,0.036,ug/kg,non-certified,LC/MS/MS,2,https://tsapps.nist.gov/srmext/certificates/1957.pdf
SRM 1957,serum,Perfluorohexanesulfonic acid,PFHxS,4.00,0.83,ug/kg,non-certified,LC/MS/MS,2,https://tsapps.nist.gov/srmext/certificates/1957.pdf
SRM 1957,serum,Perfluorooctanesulfonic acid,PFOS,21.1,1.3,ug/kg,non-certified,LC/MS/MS,2,https://tsapps.nist.gov/srmext/certificates/1957.pdf
