casrn,dtxsid,preferred_name,synonyms,inchikey,smiles
335-67-1,DTXSID8030271,PFOA,Perfluorooctanoic acid,,
1763-23-1,DTXSID3031864,PFOS,Perfluorooctanesulfonic acid|perfluorooctane sulfonic acid,,
